state_country,activities,budget,destinationType,duration
"Hawaii, USA","[""Surfing"", ""Snorkeling""]",Low,"[""Cultural"", ""Food""]",6-8 days
"Tokyo, Japan","[""Cultural Shows"", ""Temple Visits""]",Medium,"[""Cultural"", ""Food""]",10-14 days
"Bavaria, Germany","[""Beer Tours"", ""Historical Tours"", ""Hiking"", ""Castle Tours""]",Medium,"[""Cultural"", ""Historical""]",8-10 days
"Bangkok, Thailand","[""Temple Visits"", ""Shopping"", ""Cultural Shows"", ""Food Tours""]",Medium,"[""Adventure"", ""Beach""]",10-14 days
"Swiss Alps, Switzerland","[""Hiking"", ""Photography""]",Low,"[""Adventure"", ""Beach""]",4-6 days
"Paris, France","[""Museums"", ""Food Tours"", ""Historical Tours""]",Low,"[""Urban"", ""Shopping""]",8-10 days
"Dubai, UAE","[""Water Parks"", ""Desert Safari"", ""Architecture Tours"", ""Shopping""]",Medium,"[""Adventure"", ""Sports""]",2-3 days
"Tokyo, Japan","[""Shopping"", ""Cultural Shows"", ""Temple Visits"", ""Food Tours"", ""Art Museums""]",High,"[""Nature"", ""Photography""]",2-3 days
"Bavaria, Germany","[""Beer Tours"", ""Historical Tours"", ""Hiking"", ""Castle Tours"", ""Wildlife Safari""]",Low,"[""Beach"", ""Relaxation""]",10-14 days
"Bangkok, Thailand","[""Food Tours"", ""Shopping"", ""Cultural Shows"", ""Temple Visits""]",High,"[""Cultural"", ""Historical""]",10-14 days
"Swiss Alps, Switzerland","[""Skiing"", ""Photography""]",Medium,"[""Urban"", ""Shopping""]",10-14 days
"Swiss Alps, Switzerland","[""Hiking"", ""Mountain Tours""]",High,"[""Historical"", ""Educational""]",8-10 days
"California, USA","[""Theme Parks"", ""Wine Tasting"", ""Surfing"", ""Beach""]",Low,"[""Adventure"", ""Beach""]",10-14 days
"New York, USA","[""Food Tours"", ""Theater"", ""Shopping""]",High,"[""Cultural"", ""Historical""]",2-3 days
"New York, USA","[""Food Tours"", ""Shopping"", ""Museums""]",High,"[""Nature"", ""Photography""]",10-14 days
"Dubai, UAE","[""Desert Safari"", ""Architecture Tours"", ""Shopping"", ""Water Parks""]",Medium,"[""Cultural"", ""Adventure""]",2-3 days
"Dubai, UAE","[""Desert Safari"", ""Water Parks"", ""Architecture Tours"", ""Shopping""]",High,"[""Cultural"", ""Adventure""]",4-6 days
"Colorado, USA","[""Mountain Biking"", ""Skiing"", ""Hiking"", ""Rock Climbing""]",High,"[""Beach"", ""Relaxation""]",4-6 days
"Queensland, Australia","[""Beach"", ""Hiking"", ""Wildlife Tours"", ""Snorkeling""]",Medium,"[""Adventure"", ""Beach""]",10-14 days
"Hawaii, USA","[""Beach"", ""Snorkeling"", ""Surfing"", ""Volcano Tours"", ""Yoga Retreats""]",Medium,"[""Cultural"", ""Adventure""]",2-3 days
"Bangkok, Thailand","[""Food Tours"", ""Cultural Shows"", ""Shopping""]",High,"[""Historical"", ""Educational""]",6-8 days
"Bangkok, Thailand","[""Cultural Shows"", ""Food Tours"", ""Shopping""]",Medium,"[""Urban"", ""Shopping""]",6-8 days
"Paris, France","[""Food Tours"", ""Historical Tours"", ""Museums"", ""Shopping"", ""River Rafting""]",Medium,"[""Nature"", ""Relaxation""]",4-6 days
"Paris, France","[""Food Tours"", ""Museums"", ""Historical Tours""]",High,"[""Adventure"", ""Beach""]",8-10 days
"California, USA","[""Surfing"", ""Beach"", ""Wine Tasting"", ""Theme Parks""]",High,"[""Urban"", ""Shopping""]",4-6 days
"California, USA","[""Surfing"", ""Wine Tasting"", ""Beach"", ""Theme Parks""]",Low,"[""Beach"", ""Relaxation""]",10-14 days
"Paris, France","[""Historical Tours"", ""Shopping"", ""Museums"", ""Food Tours""]",High,"[""Cultural"", ""Food""]",4-6 days
"Colorado, USA","[""Rock Climbing"", ""Skiing"", ""Hiking""]",High,"[""Cultural"", ""Historical""]",4-6 days
"Wyoming, USA","[""Camping"", ""Wildlife Safari"", ""Photography"", ""Hiking""]",Medium,"[""Urban"", ""Shopping""]",10-14 days
"Hawaii, USA","[""Volcano Tours"", ""Beach""]",Low,"[""Cultural"", ""Food""]",8-10 days
"Bavaria, Germany","[""Beer Tours"", ""Castle Tours"", ""Hiking"", ""Historical Tours""]",Low,"[""Cultural"", ""Historical""]",6-8 days
"Paris, France","[""Shopping"", ""Food Tours"", ""Museums"", ""Historical Tours""]",High,"[""Cultural"", ""Adventure""]",10-14 days
"Dubai, UAE","[""Desert Safari"", ""Water Parks""]",Medium,"[""Urban"", ""Shopping""]",2-3 days
"Dubai, UAE","[""Architecture Tours"", ""Shopping"", ""Desert Safari""]",Medium,"[""Adventure"", ""Nature""]",10-14 days
"New York, USA","[""Food Tours"", ""Shopping"", ""Theater""]",Low,"[""Urban"", ""Modern""]",8-10 days
"Bangkok, Thailand","[""Food Tours"", ""Temple Visits"", ""Shopping"", ""Cultural Shows"", ""Hiking""]",Low,"[""Adventure"", ""Nature""]",4-6 days
"Swiss Alps, Switzerland","[""Skiing"", ""Photography"", ""Hiking"", ""Mountain Tours""]",Medium,"[""Adventure"", ""Nature""]",2-3 days
"Dubai, UAE","[""Shopping"", ""Architecture Tours""]",Low,"[""Adventure"", ""Beach""]",8-10 days
"Paris, France","[""Food Tours"", ""Museums""]",Low,"[""Adventure"", ""Sports""]",2-3 days
"Tuscany, Italy","[""Historical Tours"", ""Food Tours"", ""Art Museums"", ""Wine Tasting"", ""Hiking""]",Low,"[""Urban"", ""Modern""]",8-10 days
"California, USA","[""Theme Parks"", ""Surfing"", ""Wine Tasting"", ""Beach""]",Medium,"[""Adventure"", ""Sports""]",6-8 days
"Tokyo, Japan","[""Shopping"", ""Food Tours"", ""Cultural Shows"", ""Temple Visits"", ""Zip Lining""]",High,"[""Cultural"", ""Food""]",6-8 days
"British Columbia, Canada","[""Hiking"", ""Kayaking"", ""Skiing""]",High,"[""Urban"", ""Modern""]",10-14 days
"Bangkok, Thailand","[""Temple Visits"", ""Shopping"", ""Food Tours"", ""Cultural Shows""]",Medium,"[""Adventure"", ""Sports""]",2-3 days
"British Columbia, Canada","[""Hiking"", ""Skiing"", ""Wildlife Tours""]",Low,"[""Cultural"", ""Adventure""]",6-8 days
"Colorado, USA","[""Hiking"", ""Rock Climbing""]",High,"[""Adventure"", ""Beach""]",6-8 days
